slug;titulo;preco;preco_parcelado;link_hotmart;status;nome_na_hotmart;cursos_do_combo;descricao;observacao
acesso-completo;Acesso Completo (todos os cursos);598,80;por ano, em até 12x no cartão;https://pay.hotmart.com/N76929729C?off=s6yu723z;ativo;Cursos da Tutora;;;"Produto ""Cursos da Tutora"", plano ""Assinatura Anual"" (aba Planos), cobrança anual até o aluno cancelar. Há também o plano ""Nova Assinatura Anual"" de R$ 600,92."
combo-passeio-pela-historia;Um Passeio pela História;299,60;à vista ou parcelado no cartão;https://pay.hotmart.com/G82739674B;ativo;;gregos-fundamento-do-ocidente roma imperio-bizantino os-francos-e-o-nascimento-da-cristandade alta-idade-media baixa-idade-media renascimento mercantilismo revolucoes-burguesas era-napoleonica o-grande-seculo-xix inicio-seculo-xx-guerra-e-revolucao;Os 12 cursos de panorama do professor Guilherme Almeida, da Grécia antiga ao início do século XX, num pacote só.;"Produto ""Um Passeio Pela História"" (Pagamento único). Revolução Francesa ficou fora: tem produto próprio."
educacao-personalizada;Educação Personalizada;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/P78735287R;ativo;;;;
harmonia-familiar;Harmonia Familiar;320,60;à vista ou parcelado no cartão;https://pay.hotmart.com/M87506470C;ativo;;;;"Na Hotmart: ""Educação Infantil e Harmonia Familiar""."
imaginario-crianca-moderna;O Imaginário da Criança Moderna;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/S84201967K;ativo;Como Educar as Crianças: A importância da Formação do Imaginário;;;
arte-de-falar-bem;A Arte de Falar Bem;129,30;à vista ou parcelado no cartão;https://pay.hotmart.com/I79656092U;ativo;O Segredo de Falar Bem;;;Há também uma oferta sem nome de R$ 89,90.
virtudes-fundamentais;As Virtudes Fundamentais;299,60;à vista ou parcelado no cartão;https://pay.hotmart.com/P76929941R;ativo;;;;Há também uma oferta sem nome de R$ 319,90.
filosofia-da-educacao;Filosofia da Educação;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/D76906495W;ativo;;;;Há também uma oferta sem nome de R$ 239,90.
introducao-a-aristoteles;Introdução a Aristóteles;149,30;à vista ou parcelado no cartão;https://pay.hotmart.com/K79807578Y;ativo;;;;
historia-do-pensamento-etico;História do Pensamento Ético;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/F95456826X;ativo;;;;
o-fim-da-educacao;O Fim da Educação;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/D80064078E;ativo;;;;
o-que-e-filosofar;O Que É Filosofar;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/A86229954S;ativo;;;;
patristica-agostinho-dionisio;Patrística: Agostinho e Pseudo-Dionísio;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/S95449304L;ativo;Neoplatonismo e Patrística;;;
tecnica-ciencia-religiao;Técnica, Ciência e Religião: Uma Nova Introdução ao Pensamento Grego;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/U95458902B;ativo;;;;
grandes-epopeias-da-antiguidade;As Grandes Epopeias da Antiguidade Clássica;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/P95459807S;ativo;;;;"Na Hotmart: ""As Grandes Epopeias Antigas""."
dante-e-a-literatura;Dante e a Literatura;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/G95460018D;ativo;;;;
literatura-brasileira-e-de-lingua-portuguesa;Literatura Brasileira e de Língua Portuguesa;169,80;à vista ou parcelado no cartão;https://pay.hotmart.com/O94710303G;ativo;Intensivão de Literatura - FUVEST 2025;;;"Na Hotmart: ""Intensivão de Literatura - FUVEST 2025"" (o de 2024 está com vendas suspensas). Vale renomear lá."
musicas-contos-e-lendas-de-natal;Músicas, Contos e Lendas de Natal;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/S96194070P;ativo;Histórias de Natal;;;
teatro-grego-tragedia;Teatro Grego: Introdução à Tragédia;199,60;à vista ou parcelado no cartão;https://pay.hotmart.com/U95459957N;ativo;;;;"Preço base R$ 199,60 (os outros avulsos recentes são R$ 199,40). Na Hotmart: ""Teatro Grego""."
alta-idade-media;Alta Idade Média;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
baixa-idade-media;Baixa Idade Média;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
brasil-mapas-cartas;Brasil: Mapas e Cartas;;;;ativo;;;;Não está na planilha da Hotmart de 16/09/2026.
como-estudar-historia;Como Estudar História;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/X78735176I;ativo;;;;Há também uma oferta sem nome de R$ 189,90.
era-napoleonica;Era Napoleônica;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
