curso;tipo;titulo;link;observacao
area:historia-e-politica;apresentacao;Um Passeio Pela História - Intro;https://www.youtube.com/watch?v=nIbGrdm_5xA;Um Passeio Pela História não é curso deste site: aparece na página da área História e Política. Troque pelo slug do curso certo, se houver.
area:historia-e-politica;aula-gratis;Um Passeio Pela História - Aula Gratis;https://www.youtube.com/watch?v=4RLbayf4QKg;Um Passeio Pela História não é curso deste site: aparece na página da área História e Política. Troque pelo slug do curso certo, se houver.
arte-de-falar-bem;apresentacao;O Segredo de Falar Bem - Intro;https://www.youtube.com/watch?v=zWtr5hWrfHw;No site antigo: O Segredo de Falar Bem
arte-de-falar-bem;aula-gratis;O Segredo de Falar Bem - Aula Grátis;https://www.youtube.com/watch?v=88QXbVOlsHY;No site antigo: O Segredo de Falar Bem
brevissima-introducao-ao-direito;apresentacao;Introducao Ao Direito - Intro;https://www.youtube.com/watch?v=g11MsV0astw;
brevissima-introducao-ao-direito;aula-gratis;Brevíssima Introdução ao Direito - Aula Grátis;https://www.youtube.com/watch?v=iOtDqgZY0VY;
como-estudar-historia;apresentacao;Como Estudar História - Intro;https://www.youtube.com/watch?v=p06IRJzXKqw;
como-estudar-historia;aula-gratis;Como Estudar História - Aula Grátis;https://www.youtube.com/watch?v=D8n2n869J_k;
dante-e-a-literatura;apresentacao;Dante e a Literatura - Intro;https://www.youtube.com/watch?v=gzyicK3m-Oo;
dante-e-a-literatura;aula-gratis;Dante e a Literatura - Aula Grátis;https://www.youtube.com/watch?v=as-iFzTWwl8;
educacao-personalizada;apresentacao;Tutora A Educação Personalizada - Intro;https://www.youtube.com/watch?v=CJf2ce9nAvM;
educacao-personalizada;aula-gratis;Educação Personalizada - Aula Grátis;https://www.youtube.com/watch?v=zGjDhSQRaQQ;
filosofia-da-educacao;apresentacao;Filosofia da Educação - Intro;https://www.youtube.com/watch?v=RE1l4UxlDGc;
filosofia-da-educacao;aula-gratis;Filosofia da Educação - Aula Grátis;https://www.youtube.com/watch?v=NlHwr0l8qyA;
introducao-a-aristoteles;apresentacao;Introdução a Aristóteles - Apresentação;https://www.youtube.com/watch?v=fA7BGEAQ0HY;
introducao-a-aristoteles;aula-gratis;Introdução a Aristóteles - Aula Grátis;https://www.youtube.com/watch?v=9P70TBL7gWU;
